Priority | Area | Timeslot | Duration | Frequency | Time | ID | Operator
[[1. 1. 0. 9. 1. 1. 1. 2.]]
[[2. 4. 1. 1. 2. 2. 2. 3.]]
[[2. 6. 2. 4. 2. 3. 3. 2.]]
[[ 3.  2.  3. 10.  1.  2.  4.  2.]]
[[3. 2. 4. 5. 1. 2. 5. 1.]]
[[1. 1. 5. 9. 1. 1. 6. 1.]]
[[1. 2. 7. 8. 1. 2. 7. 2.]]
[[ 3.  2.  8. 10.  2.  1.  8.  1.]]
[[1. 3. 9. 7. 1. 3. 9. 2.]]
[[ 3.  3. 10.  7.  1.  3. 10.  1.]]
[[ 1.  2. 11.  6.  2.  1. 11.  3.]]
[[ 2.  1. 12.  5.  1.  1. 12.  3.]]
[[ 3.  2. 13.  9.  1.  2. 13.  2.]]
[[ 1.  6. 15.  5.  2.  3. 14.  1.]]
[[ 3.  2. 16.  6.  1.  2. 15.  2.]]
[[ 1.  2. 17.  2.  1.  2. 16.  3.]]
[[ 1.  6. 18.  2.  2.  3. 17.  1.]]
[[ 1.  1. 20.  2.  1.  1. 18.  2.]]
[[ 1.  2. 21. 10.  2.  1. 19.  2.]]
[[ 3.  4. 22.  4.  2.  2. 20.  3.]]
[[ 2.  4. 24.  4.  2.  2. 21.  2.]]
[[ 3.  3. 25. 10.  3.  1. 22.  2.]]
[[ 2.  2. 27.  9.  2.  1. 23.  3.]]
[[ 3.  6. 28.  7.  3.  2. 24.  3.]]
[[ 3.  1. 29.  9.  1.  1. 25.  2.]]
[[ 3.  3. 30.  6.  3.  1. 26.  3.]]
[[ 1.  6. 31.  7.  2.  3. 27.  3.]]
[[ 3.  6. 32.  2.  2.  3. 28.  3.]]
[[ 3.  4. 33.  2.  2.  2. 29.  2.]]
[[ 3.  4. 34.  4.  2.  2. 30.  2.]]
[[ 1.  9. 35.  3.  3.  3. 31.  3.]]
[[ 2.  2. 36. 10.  2.  1. 32.  3.]]
[[ 1.  2. 38.  1.  2.  1. 33.  2.]]
[[ 3.  2. 39.  1.  2.  1. 34.  1.]]
[[ 3.  1. 41.  1.  1.  1. 35.  2.]]
[[ 2.  2. 42.  6.  2.  1. 36.  1.]]
[[ 2.  9. 43. 10.  3.  3. 37.  2.]]
[[ 2.  3. 44.  6.  3.  1. 38.  2.]]
[[ 2.  3. 45.  2.  1.  3. 39.  1.]]
[[ 1.  2. 46.  9.  1.  2. 40.  1.]]
[[ 2.  1. 47.  5.  1.  1. 41.  1.]]
[[ 3.  2. 48.  8.  2.  1. 42.  2.]]
[[ 2.  4. 49. 10.  2.  2. 43.  2.]]
[[ 3.  2. 51. 10.  1.  2. 44.  2.]]
[[ 3.  6. 52.  1.  3.  2. 45.  2.]]
[[ 2.  4. 54. 10.  2.  2. 46.  3.]]
[[ 3.  9. 55.  3.  3.  3. 47.  1.]]
[[ 3.  2. 57.  9.  1.  2. 48.  1.]]
[[ 1.  2. 58.  3.  2.  1. 49.  2.]]
[[ 2.  1. 59.  8.  1.  1. 50.  1.]]
[[ 1.  3. 60.  4.  3.  1. 51.  1.]]
[[ 2.  4. 61.  9.  2.  2. 52.  2.]]
[[ 3.  3. 62.  9.  1.  3. 53.  3.]]
[[ 2.  6. 63.  2.  2.  3. 54.  1.]]
[[ 2.  9. 64.  3.  3.  3. 55.  2.]]
[[ 3.  2. 65.  8.  2.  1. 56.  1.]]
[[ 3.  6. 66.  1.  3.  2. 57.  1.]]
[[ 1.  6. 67.  6.  3.  2. 58.  2.]]
[[ 2.  3. 71.  7.  3.  1. 59.  1.]]
[[ 2.  2. 72.  1.  1.  2. 60.  2.]]
[[ 3.  3. 73.  2.  3.  1. 61.  3.]]
[[ 3.  1. 74.  9.  1.  1. 62.  2.]]
[[ 1.  9. 75.  5.  3.  3. 63.  3.]]
[[ 2.  4. 76.  8.  2.  2. 64.  1.]]
[[ 2.  1. 77.  4.  1.  1. 65.  2.]]
[[ 1.  4. 78.  4.  2.  2. 66.  1.]]
[[ 3.  2. 80.  7.  2.  1. 67.  1.]]
[[ 3.  2. 81.  8.  2.  1. 68.  1.]]
[[ 3.  9. 82. 10.  3.  3. 69.  3.]]
[[ 3.  9. 85.  6.  3.  3. 70.  2.]]
[[ 3.  9. 86.  3.  3.  3. 71.  2.]]
[[ 2.  2. 87.  8.  2.  1. 72.  2.]]
[[ 1.  3. 89.  8.  1.  3. 73.  2.]]
[[ 2.  1. 90.  2.  1.  1. 74.  2.]]
[[ 3.  9. 91.  1.  3.  3. 75.  2.]]
[[ 1.  2. 92.  3.  2.  1. 76.  1.]]
[[ 1.  2. 95.  8.  1.  2. 77.  2.]]
[[ 2.  3. 96.  4.  1.  3. 78.  2.]]
[[ 1.  2. 98.  4.  2.  1. 79.  1.]]
[[ 1.  3. 99.  4.  3.  1. 80.  1.]]
[[  1.   3. 100.  10.   1.   3.  81.   2.]]
[[  2.   6. 101.   4.   3.   2.  82.   2.]]
[[  3.   3. 103.   6.   1.   3.  83.   2.]]
[[  2.   2. 104.   7.   1.   2.  84.   1.]]
[[  2.   1. 105.   1.   1.   1.  85.   2.]]
[[  3.   6. 106.   2.   2.   3.  86.   2.]]
[[  3.   2. 107.   5.   1.   2.  87.   1.]]
[[  2.   2. 108.   2.   1.   2.  88.   3.]]
[[  3.   6. 110.   4.   2.   3.  89.   1.]]
[[  3.   4. 111.   4.   2.   2.  90.   1.]]
[[  3.   9. 115.   3.   3.   3.  91.   1.]]
[[  3.   3. 116.   1.   3.   1.  92.   3.]]
[[  1.   6. 118.   8.   3.   2.  93.   1.]]
[[  3.   1. 121.  10.   1.   1.  94.   1.]]
[[  3.   1. 123.   7.   1.   1.  95.   2.]]
[[  3.   4. 124.   2.   2.   2.  96.   2.]]
[[  3.   3. 125.   8.   3.   1.  97.   3.]]
[[  3.   9. 128.  10.   3.   3.  98.   2.]]
[[  3.   2. 129.   1.   1.   2.  99.   2.]]
[[  2.   9. 130.   1.   3.   3. 100.   2.]]
[[  2.   9. 131.   8.   3.   3. 101.   2.]]
